Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4",0603,4,22 pF,C1653
"C10, C11, C16, C27, C28, C38, C40, C41, C5, C8, C9",0603,11,10uF,C1691
"C12, C17, C39, C46, C6, C7",0603,6,100nF,C14663
C13,0603,1,2.2 uF,C23630
"C14, C37, C43",0603,3,220 uF,C412252
"C15, C42",1206,2,47uF,C96123
"C18, C19, C29, C30",0603,4,0.22 uF,C64705
"C20, C23, C31, C32",0603,4,680 nF,C327005
"C21, C24, C33, C34",0603,4,1 nF,C1588
"C22, C25, C35, C36",0603,4,10 nF,C100042
"C26, C44, C45",CP_Radial_D12.5mm_P5.00mm,3,470 uF,C233101
D1,0603,1,LED,C19171390
IC1,SOP65P810X120-33N,1,TPA3116D2DAD,C2865736
J2,WJ500V-5.08-2P,1,L,C8465
"J3, J5",WJ500V-5.08-2P,2,R,C8465
J4,Jack_3.5mm_CUI_SJ1-3535NG_Horizontal,1,AudioJack3_SwitchTR,C4991610
"L4, L5, L6, L7, L8",0603,5,10 uH,C86083
"R1, R10, R11, R12, R17, R2, R22, R3, R5, R6, R7",0603,11,10K,C98220
"R13, R4, R8, R9",0603,4,100K,C14675
R14,0603,1,75k Ohm,C114636
R15,0603,1,47k Ohm,C105579
"R16, R18, R19, R20, R24",0603,5,3.3 Ohm,C2930016
R23,0603,1,2.2 Ohm,C112307
"U1, U2",SOIC-8_3.9x4.9mm_P1.27mm,2,NE5532,C7426
U3,TO-263-2,1,LM7812_TO220,C7432181
"VR1, VR2",TRIM_3296W-1-103LF,2,3296W-1-103LF,C49190453
