Comment,Designator,Footprint,LCSC,Quantity
1 uF,C13,C_0603_1608Metric,C15849,1
10 uF,C19,C_0805_2012Metric,C440198,1
10 uF,C6,C_0603_1608Metric,C96446,1
100 nF,"C11,C12,C14,C15,C16,C17,C18,C20,C21,C23,C7,C8,C9",C_0603_1608Metric,C14663,13
100nF,"C1,C2,C3",C_0603_1608Metric,C14663,3
18pF,"C4,C5",C_0603_1608Metric,C1647,2
2.49k 1%,R8,R_0603_1608Metric,C22908,1
25 MHz,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9006,1
4.7 uF,"C10,C22",C_0805_2012Metric,C1779,2
510,"R5,R6,R7",R_0603_1608Metric,C23193,3
75,"R1,R2,R3,R4",R_0603_1608Metric,C4275,4
CH398X5,U2,C55013891_VQFN-40_L5_0-W5_0-P0_40-TL-EP3_5,C55013891,1
HC-USB3.0-L168-WP,U3,C7501850_USB-TH_USB3_0-A,C7501850,1
HC-WK88-H16-DB,RJ1,C7501824_RJ45-TH_HC-WK88-H16-DB,C7501824,1
HR682430E,U1,C3020103_SMD-24_L15_1-W7_1-P1_00-LS10_0-BL,C3020103,1
LED,D1,LED_0805_2012Metric,C2297,1
VSW,L1,C47327201_IND-SMD_L7_7-W6_6_APS0630,C47327201,1
